NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,TERM,OVER_EXPECT_CREDIT,MEAN_BUILDING_SCORE_AVG,TOTAL_BUILDING_SCORE_AVG,FLAG_DOCUMENT_TOTAL,AMT_REQ_CREDIT_BUREAU_TOTAL,BIRTH_EMPLOTED_INTERVEL,BIRTH_REGISTRATION_INTERVEL,INCOME_PER_FAMILY_MEMBER,SEASON_REMAINING,RATIO_INCOME_GOODS,CHILDREN_RATIO
0,0,0,1,0.0,135000.0,654498.0,31617.0,585000.0,6,3,4,1,1,0.005313,-20614,365243,-8985.0,-3098,12.061090818687727,1.0,0.0,0.0,1.0,0.0,0.0,8,2.0,2.0,2.0,5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0.5021298056566621,0.6226517577753016,0.6023863442690867,0.11744049917466033,0.08844221905180052,0.9777348581622732,0.752471432592686,0.04462071541135205,0.07894151232418305,0.1497246700681123,0.2262819070368362,0.23189350049050692,0.06633318417239835,0.10077477495068154,0.10739901933259607,0.008808672617213057,0.02835775707579772,0.11423100693296864,0.08754321224758604,0.9770653729428284,0.759637322733821,0.042553137750146755,0.07448973610915821,0.14519265864574382,0.22231504747867964,0.22805849255070593,0.06495768445657842,0.1056448567494209,0.1059750504371198,0.008076387544283468,0.02702231968598884,0.11784992076592354,0.08795485466574764,0.9777522640694213,0.7557462721917102,0.044595101785290435,0.07807784431137002,0.14921278072876187,0.22589659009280993,0.23162493804929254,0.06716874904939986,0.10195447324073251,0.10860673604899224,0.008651013330213151,0.028235920597262987,2,0,0.10254666268544003,4,0,0.0,0.0,0.0,0.0,-1237.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.700825505266156,1,0.22979609793734368,0.0,1.0,3.0,385857,11629.0,67500.0,2133.0,-450000.0,0.0
0,1,1,1,0.0,135000.0,234576.0,25393.5,202500.0,6,7,4,3,5,0.010643,-9080,-1080,-1909.0,-1743,13.0,1.0,1.0,0.0,1.0,0.0,0.0,4,1.0,2.0,2.0,5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5021298056566621,0.6559599719794063,0.4920600938649263,0.11744049917466033,0.08844221905180052,0.9777348581622732,0.752471432592686,0.04462071541135205,0.07894151232418305,0.1497246700681123,0.2262819070368362,0.23189350049050692,0.06633318417239835,0.10077477495068154,0.10739901933259607,0.008808672617213057,0.02835775707579772,0.11423100693296864,0.08754321224758604,0.9770653729428284,0.759637322733821,0.042553137750146755,0.07448973610915821,0.14519265864574382,0.22231504747867964,0.22805849255070593,0.06495768445657842,0.1056448567494209,0.1059750504371198,0.008076387544283468,0.02702231968598884,0.11784992076592354,0.08795485466574764,0.9777522640694213,0.7557462721917102,0.044595101785290435,0.07807784431137002,0.14921278072876187,0.22589659009280993,0.23162493804929254,0.06716874904939986,0.10195447324073251,0.10860673604899224,0.008651013330213151,0.028235920597262987,2,0,0.10254666268544003,4,0,1.0,0.0,1.0,0.0,-379.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.237639553429027,1,0.22979609793734368,0.0,1.0,1.0,8000,7171.0,135000.0,8356.5,-67500.0,0.0
0,1,1,1,0.0,112500.0,157914.0,16753.5,139500.0,6,7,4,3,1,0.032561,-15933,-114,-7826.0,-4424,19.0,1.0,1.0,0.0,1.0,0.0,0.0,8,1.0,1.0,1.0,5,14.0,0.0,1.0,1.0,0.0,0.0,0.0,33,0.6909994075791971,0.6707933556550142,0.5108529061800121,0.11744049917466033,0.08844221905180052,0.9777348581622732,0.752471432592686,0.04462071541135205,0.07894151232418305,0.1497246700681123,0.2262819070368362,0.23189350049050692,0.06633318417239835,0.10077477495068154,0.10739901933259607,0.008808672617213057,0.02835775707579772,0.11423100693296864,0.08754321224758604,0.9770653729428284,0.759637322733821,0.042553137750146755,0.07448973610915821,0.14519265864574382,0.22231504747867964,0.22805849255070593,0.06495768445657842,0.1056448567494209,0.1059750504371198,0.008076387544283468,0.02702231968598884,0.11784992076592354,0.08795485466574764,0.9777522640694213,0.7557462721917102,0.044595101785290435,0.07807784431137002,0.14921278072876187,0.22589659009280993,0.23162493804929254,0.06716874904939986,0.10195447324073251,0.10860673604899224,0.008651013330213151,0.028235920597262987,2,0,0.1682,4,0,1.0,0.0,1.0,0.0,-343.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.42573193661026,1,0.22979609793734368,0.0,1.0,1.0,15819,8107.0,112500.0,11371.5,-27000.0,0.0
0,1,1,0,0.0,247500.0,1125000.0,36292.5,1125000.0,6,7,2,1,1,0.011703,-9926,-1061,-6542.0,-2474,9.0,1.0,1.0,0.0,1.0,1.0,0.0,16,2.0,2.0,2.0,2,16.0,0.0,1.0,1.0,0.0,1.0,1.0,40,0.5087486232474099,0.4861195361236368,0.34578480246959553,0.11744049917466033,0.08844221905180052,0.9777348581622732,0.752471432592686,0.04462071541135205,0.07894151232418305,0.1497246700681123,0.2262819070368362,0.23189350049050692,0.06633318417239835,0.10077477495068154,0.10739901933259607,0.008808672617213057,0.02835775707579772,0.11423100693296864,0.08754321224758604,0.9770653729428284,0.759637322733821,0.042553137750146755,0.07448973610915821,0.14519265864574382,0.22231504747867964,0.22805849255070593,0.06495768445657842,0.1056448567494209,0.1059750504371198,0.008076387544283468,0.02702231968598884,0.11784992076592354,0.08795485466574764,0.9777522640694213,0.7557462721917102,0.044595101785290435,0.07807784431137002,0.14921278072876187,0.22589659009280993,0.23162493804929254,0.06716874904939986,0.10195447324073251,0.10860673604899224,0.008651013330213151,0.028235920597262987,2,0,0.10254666268544003,4,0,1.0,1.0,1.0,1.0,-1269.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,30.998140111593305,0,0.22979609793734368,0.0,1.0,10.0,8865,3384.0,123750.0,25582.5,-877500.0,0.0
0,1,0,1,0.0,202500.0,900000.0,35158.5,900000.0,6,7,4,1,2,0.010006,-11757,-1593,-4380.0,-81,12.061090818687727,1.0,1.0,0.0,1.0,0.0,0.0,4,2.0,2.0,2.0,2,8.0,0.0,0.0,0.0,0.0,1.0,1.0,42,0.06893910299123714,0.24756286841445124,0.2276129150623945,0.034,0.0821,0.9861,0.8096,0.04462071541135205,0.0,0.1034,0.0833,0.125,0.0,0.0277,0.10739901933259607,0.0,0.0649,0.0347,0.0852,0.9861,0.8171,0.042553137750146755,0.0,0.1034,0.0833,0.125,0.0,0.0303,0.1059750504371198,0.0,0.0688,0.0344,0.0821,0.9861,0.8121,0.044595101785290435,0.0,0.1034,0.0833,0.125,0.0,0.0282,0.10860673604899224,0.0,0.0663,0,0,0.0355,5,0,0.0,0.0,0.0,0.0,-524.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,25.59836170485089,0,0.19300833333333334,2.3161,1.0,3.0,10164,7377.0,101250.0,15466.5,-697500.0,0.0
1,0,0,1,0.0,121500.0,225000.0,11250.0,225000.0,6,3,4,5,1,0.018209,-22402,365243,-558.0,-4216,12.061090818687727,1.0,0.0,0.0,1.0,0.0,0.0,8,1.0,3.0,3.0,3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,57,0.6349691470123091,0.2324261375030008,0.4436153084085652,0.1031,0.0796,0.9851,0.7959999999999999,0.0378,0.0,0.1724,0.1667,0.0,0.0394,0.0841,0.0671,0.0,0.0,0.105,0.0826,0.9851,0.804,0.0382,0.0,0.1724,0.1667,0.0,0.0403,0.0918,0.0699,0.0,0.0,0.1041,0.0796,0.9851,0.7987,0.0381,0.0,0.1724,0.1667,0.0,0.0401,0.0855,0.0683,0.0,0.0,2,0,0.0734,4,0,2.0,0.0,2.0,0.0,-507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0,0.18080714285714286,2.5313,0.0,6.0,387645,21844.0,121500.0,19125.0,-103500.0,0.0
0,0,0,0,0.0,90000.0,808650.0,26086.5,675000.0,6,7,4,2,2,0.009549,-18576,-4725,-2051.0,-2026,12.061090818687727,1.0,1.0,0.0,1.0,0.0,0.0,8,1.0,2.0,2.0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.5021298056566621,0.5467978076602136,0.25946765482111994,0.11744049917466033,0.08844221905180052,0.9777348581622732,0.752471432592686,0.04462071541135205,0.07894151232418305,0.1497246700681123,0.2262819070368362,0.23189350049050692,0.06633318417239835,0.10077477495068154,0.10739901933259607,0.008808672617213057,0.02835775707579772,0.11423100693296864,0.08754321224758604,0.9770653729428284,0.759637322733821,0.042553137750146755,0.07448973610915821,0.14519265864574382,0.22231504747867964,0.22805849255070593,0.06495768445657842,0.1056448567494209,0.1059750504371198,0.008076387544283468,0.02702231968598884,0.11784992076592354,0.08795485466574764,0.9777522640694213,0.7557462721917102,0.044595101785290435,0.07807784431137002,0.14921278072876187,0.22589659009280993,0.23162493804929254,0.06716874904939986,0.10195447324073251,0.10860673604899224,0.008651013330213151,0.028235920597262987,2,0,0.10254666268544003,4,0,1.0,0.0,1.0,0.0,-170.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.99879247886838,1,0.22979609793734368,0.0,1.0,0.0,13851,16525.0,90000.0,-3586.5,-585000.0,0.0
0,0,0,0,2.0,54000.0,450000.0,21888.0,450000.0,6,7,1,1,1,0.008625,-14783,-84,-8456.0,-2537,12.061090818687727,1.0,1.0,1.0,1.0,0.0,0.0,3,4.0,2.0,2.0,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.22318834096207127,0.6484104123892844,0.5531646987710016,0.0835,0.0214,0.9816,0.752471432592686,0.04462071541135205,0.0,0.2069,0.1667,0.23189350049050692,0.06633318417239835,0.10077477495068154,0.0906,0.008808672617213057,0.0384,0.0851,0.0222,0.9816,0.759637322733821,0.042553137750146755,0.0,0.2069,0.1667,0.22805849255070593,0.06495768445657842,0.1056448567494209,0.0944,0.008076387544283468,0.0406,0.0843,0.0214,0.9816,0.7557462721917102,0.044595101785290435,0.0,0.2069,0.1667,0.23162493804929254,0.06716874904939986,0.10195447324073251,0.0922,0.008651013330213151,0.0392,2,0,0.0712,5,0,1.0,0.0,1.0,0.0,-1160.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55921052631579,0,0.19863750000000002,1.5891,1.0,0.0,14699,6327.0,13500.0,-8388.0,-396000.0,0.5
0,0,0,0,1.0,180000.0,1125000.0,47664.0,1125000.0,6,7,4,1,1,0.019689,-16032,-5139,-5475.0,-4019,12.061090818687727,1.0,1.0,1.0,1.0,0.0,0.0,3,3.0,2.0,2.0,6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.2784712989825959,0.713935524422844,0.3842068130556564,0.1268,0.0,0.9747,0.6532,0.0045,0.0,0.069,0.1667,0.2083,0.0,0.1034,0.0516,0.0,0.0062,0.1292,0.0,0.9747,0.6668,0.0045,0.0,0.069,0.1667,0.2083,0.0,0.1129,0.0538,0.0,0.0066,0.128,0.0,0.9747,0.6578,0.0045,0.0,0.069,0.1667,0.2083,0.0,0.1052,0.0526,0.0,0.0064,2,1,0.0131,5,0,0.0,0.0,0.0,0.0,-1903.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.602719033232628,0,0.1688857142857143,2.3644000000000003,1.0,1.0,10893,10557.0,60000.0,-2664.0,-945000.0,0.3333333333333333
0,1,1,0,0.0,121500.0,343377.0,13072.5,283500.0,6,7,4,2,1,0.010147,-18445,-10811,-10859.0,-1988,29.0,1.0,1.0,0.0,1.0,0.0,0.0,10,1.0,2.0,2.0,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.5021298056566621,0.5422529112247184,0.6894791426446275,0.0052,0.08844221905180052,0.9722,0.752471432592686,0.04462071541135205,0.07894151232418305,0.1497246700681123,0.0,0.23189350049050692,0.06633318417239835,0.10077477495068154,0.0059,0.008808672617213057,0.02835775707579772,0.0053,0.08754321224758604,0.9722,0.759637322733821,0.042553137750146755,0.07448973610915821,0.14519265864574382,0.0,0.22805849255070593,0.06495768445657842,0.1056448567494209,0.0061,0.008076387544283468,0.02702231968598884,0.0052,0.08795485466574764,0.9722,0.7557462721917102,0.044595101785290435,0.07807784431137002,0.14921278072876187,0.0,0.23162493804929254,0.06716874904939986,0.10195447324073251,0.006,0.008651013330213151,0.028235920597262987,2,0,0.0046,5,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.2671256454389,1,0.245825,0.9833,1.0,3.0,7634,7586.0,121500.0,17302.5,-162000.0,0.0
